SCHID,LEAID,SCH_NAME,LEA_STATE_NAME_x,LEA_ZIP,white_student_suspension_total,black_student_suspension_total,black_student_pop,white_student_pop,susp_black_white_ratio,gini_inequality,med_hh_inc,white_prop,bach_plus_prop,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_SSCLASSES_IND,SCH_GT_IND,SCH_IBENR_IND,SCH_APSEL,teacher_prop,security_pop_bool,security_pop,law_prop,counc_prop,cert_teacher_prop,total_susp_per_pop,school_pop,reduced_free_lunch_prop,male_prop,black_white_pop_ratio
1919,3620580,BENJAMIN N CARDOZO HIGH SCHOOL,NEW YORK,NA,0,3,692,350,Inf,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.0028790786948176585,3254,NA,0.4677320221266134,0.6641074856046065
1921,3620580,BOYS AND GIRLS HIGH SCHOOL,NEW YORK,NA,0,7,345,4,Inf,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.02005730659025788,449,NA,0.6525612472160356,0.9885386819484241
1922,3620580,BRONX HIGH SCHOOL OF SCIENCE (THE),NEW YORK,NA,1,0,110,641,0,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.0013315579227696406,2981,NA,0.549480040254948,0.14647137150466044
1923,3620580,Ps 721 Stephen Mcsweeney School,NEW YORK,NA,0,2,183,15,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.010101010101010102,536,NA,0.6529850746268657,0.9242424242424242
1926,3620580,Ps 811 Connie Lekas School,NEW YORK,NA,0,0,146,38,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,311,NA,0.6270096463022508,0.7934782608695652
1927,3620580,Ps 721 Brooklyn Occupational Training Center,NEW YORK,NA,0,0,166,120,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,483,NA,0.6625258799171843,0.5804195804195804
1928,3620580,BROOKLYN TECHNICAL HIGH SCHOOL,NEW YORK,NA,2,0,332,1367,0,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.0011771630370806356,5939,NA,0.5792220912611551,0.19540906415538553
1932,3620580,Ps 811 Mickey Mantle School,NEW YORK,NA,0,0,171,13,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,391,NA,0.8184143222506394,0.9293478260869565
1934,3620580,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,NA,0,1,99,18,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.008547008547008548,439,NA,0.724373576309795,0.8461538461538461
1937,3620580,CLARA BARTON HIGH SCHOOL,NEW YORK,NA,0,11,1106,17,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.009795191451469279,1322,NA,0.2367624810892587,0.9848619768477292
1939,3620580,CURTIS HIGH SCHOOL,NEW YORK,NA,3,36,700,271,4.645714285714286,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.04016477857878476,2206,NA,0.4301903898458749,0.7209062821833162
1940,3620580,DEWITT CLINTON HIGH SCHOOL,NEW YORK,NA,2,2,282,28,0.09929078014184398,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.012903225806451613,1002,NA,0.5089820359281437,0.9096774193548387
